2025-05-21 19:16:38.447190 | timmm | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 22:52:38.650432 | 111 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:12:32.226776 | aaa | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:12:52.478909 | aaa | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:13:39.475613 | a | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:13:51.491429 | a | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:24:36.131826 | ww | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:24:48.520313 | ww | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:28:20.045809 | rr | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:28:35.572678 | rr | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:38:44.055802 | rt | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:38:56.025243 | rt | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:42:14.146874 | ty | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-21 23:42:26.521486 | ty | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-21 23:42:29.788689 | 127.0.0.1 | upload | {'file_id': '0c6b972897a672b95622ed10e5df04a3', 'filename': 'main.pdf'}
2025-05-22 00:10:48.609750 | aaa | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 00:22:55.821476 | fg | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 00:23:14.889875 | fg | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 01:37:04.535728 | 127.0.0.1 | download | {'file_id': '0c6b972897a672b95622ed10e5df04a3'}
2025-05-22 01:46:10.469318 | 127.0.0.1 | download | {'file_id': '0c6b972897a672b95622ed10e5df04a3'}
2025-05-22 01:51:38.717434 | 127.0.0.1 | delete | {'file_id': '80fbe6b16ce8a0fabc948f787791061d'}
2025-05-22 01:51:50.717017 | 127.0.0.1 | delete | {'file_id': '0c6b972897a672b95622ed10e5df04a3'}
2025-05-22 02:13:06.841049 | 111 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:13:48.745778 | 111 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:14:06.525572 | 111 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 02:14:14.157783 | 127.0.0.1 | upload | {'file_id': '5c26f3c0d53883cce08bafe985b8b275', 'filename': 'main.pdf'}
2025-05-22 02:23:12.884662 | asg | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:23:28.371313 | asg | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 02:23:45.065012 | 127.0.0.1 | upload | {'file_id': '9eaeb19e2b11c4022e567287e689d49e', 'filename': 'midterm.pdf'}
2025-05-22 02:24:02.511932 | we | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:24:15.048007 | we | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 02:26:46.895788 | er | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:27:03.780460 | er | 2fa_verify_failed | {'code': '808992', 'ip': '127.0.0.1'}
2025-05-22 02:27:12.409296 | er | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 02:32:34.918737 | aaa | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 02:32:52.216200 | aaa | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 03:01:01.304126 | aaa | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 03:01:17.582820 | aaa | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:18:23.691702 | 548 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:18:39.952404 | 548 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:18:58.633628 | 127.0.0.1 | upload | {'file_id': 'e1a5e2c2d93e45607851760e95562bc9', 'filename': 'Palworld  幻獸帕魯.url'}
2025-05-22 20:25:20.745087 | afv | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:27:29.488259 | add | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:27:44.476969 | add | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:28:24.780989 | 127.0.0.1 | upload | {'file_id': '3138159136cc41a02dd1ed1594f1ff02', 'filename': 'Code.exe'}
2025-05-22 20:28:27.345587 | 127.0.0.1 | upload | {'file_id': '1997ea742e45e1122bc9f5430df7f727', 'filename': 'CO_Lab4.pdf'}
2025-05-22 20:28:30.820068 | 127.0.0.1 | delete | {'file_id': '3138159136cc41a02dd1ed1594f1ff02'}
2025-05-22 20:28:35.590826 | 127.0.0.1 | download | {'file_id': '1997ea742e45e1122bc9f5430df7f727'}
2025-05-22 20:29:36.531661 | 127.0.0.1 | upload | {'file_id': 'bfd81f2cdd7140981cc9e653c3ae062a', 'filename': '新增 文字文件.txt'}
2025-05-22 20:29:42.966819 | 127.0.0.1 | download | {'file_id': 'bfd81f2cdd7140981cc9e653c3ae062a'}
2025-05-22 20:29:51.930888 | aaa | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:30:05.069230 | aaa | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:30:10.097223 | 127.0.0.1 | download | {'file_id': 'bfd81f2cdd7140981cc9e653c3ae062a'}
2025-05-22 20:31:47.874539 | aff | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:32:00.148320 | aff | 2fa_verify_failed | {'code': '446993', 'ip': '127.0.0.1'}
2025-05-22 20:32:08.512163 | aff | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:32:20.460448 | 127.0.0.1 | delete | {'file_id': 'e1a5e2c2d93e45607851760e95562bc9'}
2025-05-22 20:42:56.798700 | 468 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:43:10.938849 | 468 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:43:15.057710 | 127.0.0.1 | delete | {'file_id': 'bfd81f2cdd7140981cc9e653c3ae062a'}
2025-05-22 20:43:25.539310 | 127.0.0.1 | download | {'file_id': '5c26f3c0d53883cce08bafe985b8b275'}
2025-05-22 20:43:34.855403 | 127.0.0.1 | upload | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848', 'filename': '新增 文字文件.txt'}
2025-05-22 20:44:09.247725 | 127.0.0.1 | download | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848'}
2025-05-22 20:50:03.723097 | 489 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:50:18.386073 | 489 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:50:23.304648 | 127.0.0.1 | download | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848'}
2025-05-22 20:57:22.581630 | wer | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 20:57:36.485805 | wer | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 20:57:40.389611 | 127.0.0.1 | download | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848'}
2025-05-22 21:08:06.705601 | 20 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 21:08:15.306697 | 20 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 21:08:20.525409 | 127.0.0.1 | download | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848'}
2025-05-22 21:09:32.942468 | 127.0.0.1 | download | {'file_id': '3bae63c52eb81c6ee9d91a8459086ffb'}
2025-05-22 21:10:51.214582 | 127.0.0.1 | download | {'file_id': '8ff50f6e8049fdc41725dd8b1bcb2848'}
2025-05-22 22:29:21.117290 | 487 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 22:29:33.248570 | 487 | 2fa_verify_failed | {'code': '846145', 'ip': '127.0.0.1'}
2025-05-22 22:29:38.694589 | 487 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 22:29:56.447402 | 127.0.0.1 | upload | {'file_id': '74914d69fee82d514cf15604fe7b2242', 'filename': '新增 文字文件.txt'}
2025-05-22 22:30:00.212203 | 127.0.0.1 | download | {'file_id': '74914d69fee82d514cf15604fe7b2242'}
2025-05-22 22:41:41.099755 | 987 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 22:41:53.708218 | 987 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 22:41:57.750596 | 127.0.0.1 | download | {'file_id': '74914d69fee82d514cf15604fe7b2242'}
2025-05-22 22:48:15.156446 | User1 | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 22:50:52.323639 | User1 | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 22:51:37.464801 | 127.0.0.1 | delete | {'file_id': '642b229ee26fe323482c4e25fa6a3e94'}
2025-05-22 22:51:39.341827 | 127.0.0.1 | delete | {'file_id': 'aa2931c3c88d473f1e0fbcfed077774e'}
2025-05-22 22:51:39.971127 | 127.0.0.1 | delete | {'file_id': 'aa2931c3c88d473f1e0fbcfed077774e'}
2025-05-22 22:51:41.313548 | 127.0.0.1 | delete | {'file_id': '74914d69fee82d514cf15604fe7b2242'}
2025-05-22 22:51:42.833193 | 127.0.0.1 | delete | {'file_id': 'c5b206a25573d9ab5c997428f616d6c5'}
2025-05-22 22:53:32.002925 | 127.0.0.1 | upload | {'file_id': '62bc8378a5eeb54685d5d1d104c23a1a', 'filename': '新增 文字文件.txt'}
2025-05-22 22:57:07.791583 | 127.0.0.1 | download | {'file_id': '62bc8378a5eeb54685d5d1d104c23a1a'}
2025-05-22 22:58:05.665675 | 127.0.0.1 | download | {'file_id': '62bc8378a5eeb54685d5d1d104c23a1a'}
2025-05-22 23:01:19.770160 | 127.0.0.1 | delete | {'file_id': '62bc8378a5eeb54685d5d1d104c23a1a'}
2025-05-22 23:01:35.842802 | 127.0.0.1 | upload | {'file_id': 'bdf13349686161c48766761bb62200c4', 'filename': '新增 文字文件.txt'}
2025-05-22 23:01:55.328232 | 127.0.0.1 | delete | {'file_id': 'bdf13349686161c48766761bb62200c4'}
2025-05-22 23:02:38.524967 | AaA | 2fa_register | {'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36'}
2025-05-22 23:02:54.972416 | AaA | 2fa_enable | {'ip': '127.0.0.1'}
2025-05-22 23:02:58.622672 | 127.0.0.1 | upload | {'file_id': '5231b864b07945abfaee34378bc4506c', 'filename': '新增 文字文件.txt'}
2025-05-22 23:03:04.604590 | 127.0.0.1 | delete | {'file_id': '5231b864b07945abfaee34378bc4506c'}
